# Manifiesto Best-of NEGOCIOS E INVERSIÓN — catálogo al 2026-08-14
# 112 fichas de categoria: negocios con ASIN. Formato: consenso|slug|titulo EXACTO|autorLibro|referentes
# Ordenado por consenso descendente. El consenso es el criterio principal de curaduría.
#
5|zero-to-one|De cero a uno: Cómo inventar el futuro|Peter Thiel|peter-thiel,andrew-ng,elon-musk,sam-altman,marc-andreessen
4|skin-in-the-game|Jugarse la piel|Nassim Nicholas Taleb|naval-ravikant,daniel-kahneman,derek-sivers,marc-andreessen
4|poor-charlie-s-almanack|Poor Charlie's Almanack|Charles T. Munger|warren-buffett,naval-ravikant,james-clear,marc-andreessen
3|business-adventures|Aventuras empresariales|John Brooks|bill-gates,warren-buffett,james-clear
3|the-black-swan|El cisne negro|Nassim Nicholas Taleb|jeff-bezos,naval-ravikant,ryan-holiday
3|the-sovereign-individual|El individuo soberano|James Dale Davidson|peter-thiel,vitalik-buterin,naval-ravikant
3|start-with-why|Empieza con el porqué|Simon Sinek|simon-sinek,richard-branson,james-clear
3|the-4-hour-workweek|La semana laboral de 4 horas|Tim Ferriss|tim-ferriss,james-clear,ryan-holiday
2|abundance|Abundancia|Ezra Klein y Derek Thompson|bill-gates,barack-obama
2|the-intelligent-investor|El inversor inteligente|Benjamin Graham|warren-buffett,naval-ravikant
2|the-lean-startup|El método Lean Startup|Eric Ries|andrew-ng,marc-andreessen
2|the-little-book-of-common-sense-investing|El pequeño libro para invertir con sentido común|John C. Bogle|warren-buffett,james-clear
2|the-hard-thing-about-hard-things|Emprender y liderar una startup|Ben Horowitz|marc-andreessen,andrew-ng
2|the-mythical-man-month|The Mythical Man-Month: Essays on Software Engineering|Frederick P. Brooks Jr.|jeff-bezos,paul-graham
2|the-score-takes-care-of-itself|The Score Takes Care of Itself|Bill Walsh|sam-altman,ryan-holiday
1|simpler-the-future-of-government|(más) Simple: El futuro del Gobierno|Cass R. Sunstein|daniel-kahneman
1|common-stocks|Acciones ordinarias y beneficios extraordinarios|Philip A. Fisher|warren-buffett
1|anointed|Anointed|Toby Stuart|adam-grant
1|antifragile|Antifrágil|Nassim Nicholas Taleb|naval-ravikant
1|no-rules-rules|Aquí no hay reglas|Reed Hastings y Erin Meyer|satya-nadella
1|berkshire-hathaway-letters-to-shareholders|Berkshire Hathaway Letters to Shareholders|Warren Buffett (compilado por Max Olson)|warren-buffett
1|blitzscaling|Blitzscaling: La guía para escalar empresas rápidamente|Reid Hoffman y Chris Yeh|sam-altman
1|competing-in-the-age-of-ai|Competing in the Age of AI|Marco Iansiti y Karim R. Lakhani|satya-nadella
1|creativity-inc|Creatividad, S.A.|Ed Catmull|mark-zuckerberg
1|crossing-the-chasm|Cruzando el abismo|Geoffrey A. Moore|andrew-ng
1|how-to-win-friends-and-influence-people|Cómo ganar amigos e influir sobre las personas|Dale Carnegie|paul-graham
