# Manifiesto discovery Adam Grant — 2026-07-22
# título | autor | año/mes | URL-fuente
How to Be a Living Thing|Mari Andrew|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
1929|Andrew Ross Sorkin|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
Finding My Way|Malala Yousafzai|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
Algospeak|Adam Aleksic|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
The Genius Myth|Helen Lewis|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
Read Your Mind|Oz Pearlman|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
Anointed|Toby Stuart|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
Playful|Cas Holman|2025|https://adamgrant.substack.com/p/the-new-books-to-fight-brain-rot
Poisonous People|Leanne ten Brinke|marzo 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
The Balancing Act|Nedra Tawwab|febrero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Flourish|Dan Coyle|febrero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Mattering|Jennifer Wallace|enero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
The Story of Stories|Kevin Ashton|marzo 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Revealing|Leslie John|febrero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Your Best Meeting Ever|Rebecca Hinds|febrero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Jolted|Anthony Klotz|marzo 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
The Other Side of Change|Maya Shankar|enero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Politics Without Politicians|Helene Landemore|febrero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
We the Women|Norah O'Donnell|febrero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
The Triangle of Power|Alexander Stubb|enero 2026|https://adamgrant.substack.com/p/the-new-books-to-refresh-your-thinking
Human Raised|Dana Suskind|julio 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Incorruptible|Eric Ries|mayo 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Leave the Lights On|Elizabeth Dunn|junio 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Inside the Box|David Epstein|mayo 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
The Power of Beliefs|Shawn Achor|mayo 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Why We Talk Funny|Valerie Fridland|abril 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
How to Not Know|Simone Stolzoff|mayo 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Joyful Anyway|Kate Bowler|abril 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Anxietyland|Gemma Correll|abril 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
You've Been Pooping All Wrong|Trisha Pasricha|abril 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
The Plunge|Chris Ballard|junio 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
Walk|Courtney Conley|mayo 2026|https://adamgrant.substack.com/p/the-12-new-books-to-enliven-spring
